config,rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,pe_r,pe_g,pe_b
p1,0.05,test250,250,250,0.497152,0.484,0.500888,0.505736,0.482144,0.488,0.482,0.46
p1,0.05,all500,500,500,0.496524,0.482,0.501792,0.503512,0.48211,0.49,0.489,0.462
p1,0.1,test250,250,250,0.477952,0.442,0.506552,0.505856,0.427024,0.482,0.486,0.38
p1,0.1,all500,500,500,0.476786,0.444,0.504864,0.506372,0.42383,0.489,0.488,0.383
p1,0.25,test250,250,250,0.384816,0.316,0.513752,0.513688,0.262512,0.478,0.48,0.194
p1,0.25,all500,500,500,0.374198,0.311,0.51148,0.515256,0.25503,0.484,0.48,0.189
p1,0.5,test250,250,250,0.244688,0.162,0.528936,0.524456,0.125072,0.47,0.468,0.084
p1,0.5,all500,500,500,0.236474,0.158,0.53024,0.532492,0.12956,0.472,0.465,0.088
p1,1.0,test250,250,250,0.092,0.092,0.56692,0.557888,0.032,0.44,0.442,0.032
p1,1.0,all500,500,500,0.085,0.085,0.566984,0.571376,0.037,0.442,0.441,0.037
p2,0.05,test250,250,250,0.490192,0.462,0.504304,0.504,0.465072,0.486,0.484,0.428
p2,0.05,all500,500,500,0.492376,0.472,0.507412,0.503992,0.46596,0.489,0.49,0.442
p2,0.1,test250,250,250,0.460992,0.42,0.510008,0.506904,0.396048,0.48,0.486,0.354
p2,0.1,all500,500,500,0.462326,0.43,0.511032,0.509008,0.39331,0.483,0.487,0.364
p2,0.25,test250,250,250,0.357744,0.308,0.524656,0.52092,0.228272,0.472,0.474,0.184
p2,0.25,all500,500,500,0.348032,0.302,0.52542,0.521328,0.226036,0.475,0.48,0.179
p2,0.5,test250,250,250,0.23472,0.162,0.548856,0.536328,0.111536,0.452,0.464,0.078
p2,0.5,all500,500,500,0.226622,0.157,0.552784,0.542344,0.115326,0.455,0.464,0.084
p2,1.0,test250,250,250,0.092,0.092,0.616112,0.590592,0.032,0.416,0.422,0.032
p2,1.0,all500,500,500,0.085,0.085,0.61576,0.602956,0.037,0.413,0.422,0.037
p3,0.05,test250,250,250,0.502896,0.488,0.502088,0.503496,0.503632,0.484,0.488,0.488
p3,0.05,all500,500,500,0.50407,0.49,0.505384,0.502772,0.50278,0.488,0.492,0.491
p3,0.1,test250,250,250,0.5052,0.482,0.505672,0.50316,0.5056,0.484,0.486,0.488
p3,0.1,all500,500,500,0.507262,0.485,0.50776,0.505864,0.50533,0.486,0.488,0.487
p3,0.25,test250,250,250,0.517488,0.476,0.51432,0.51636,0.514592,0.476,0.48,0.48
p3,0.25,all500,500,500,0.51746,0.476,0.514204,0.514052,0.51414,0.482,0.483,0.483
p3,0.5,test250,250,250,0.536416,0.45,0.531968,0.526536,0.528704,0.466,0.468,0.468
p3,0.5,all500,500,500,0.537428,0.458,0.532488,0.52834,0.530262,0.472,0.471,0.47
p3,1.0,test250,250,250,0.584608,0.42,0.569912,0.55376,0.576544,0.44,0.438,0.428
p3,1.0,all500,500,500,0.586072,0.425,0.567672,0.567384,0.576342,0.442,0.444,0.435
all,0.05,test250,250,250,0.50456,0.484,0.502584,0.504896,0.502496,0.486,0.486,0.486
all,0.05,all500,500,500,0.504454,0.491,0.502808,0.50468,0.50274,0.491,0.492,0.491
all,0.1,test250,250,250,0.509584,0.482,0.510488,0.508312,0.506816,0.482,0.486,0.488
all,0.1,all500,500,500,0.508584,0.484,0.508436,0.507396,0.50636,0.488,0.488,0.491
all,0.25,test250,250,250,0.524624,0.47,0.518904,0.524192,0.515168,0.47,0.476,0.478
all,0.25,all500,500,500,0.52329,0.472,0.519024,0.521428,0.51444,0.478,0.482,0.481
all,0.5,test250,250,250,0.55488,0.446,0.54356,0.539736,0.536656,0.456,0.462,0.464
all,0.5,all500,500,500,0.5556,0.447,0.545644,0.544888,0.536358,0.459,0.459,0.466
all,1.0,test250,250,250,0.626288,0.396,0.615976,0.589856,0.587296,0.42,0.43,0.422
all,1.0,all500,500,500,0.628604,0.4,0.61856,0.600624,0.589872,0.412,0.421,0.424
p13,0.05,test250,250,250,0.503664,0.484,0.501528,0.504696,0.501616,0.488,0.486,0.49
p13,0.05,all500,500,500,0.503518,0.492,0.502176,0.504224,0.50224,0.491,0.488,0.493
p13,0.1,test250,250,250,0.507744,0.484,0.506984,0.506704,0.506544,0.484,0.486,0.488
p13,0.1,all500,500,500,0.50653,0.487,0.505516,0.505816,0.505484,0.489,0.489,0.491
p13,0.25,test250,250,250,0.517296,0.476,0.511592,0.517824,0.512672,0.478,0.478,0.482
p13,0.25,all500,500,500,0.516508,0.48,0.512288,0.517232,0.511604,0.482,0.48,0.482
p13,0.5,test250,250,250,0.539888,0.46,0.526088,0.527272,0.532112,0.468,0.47,0.468
p13,0.5,all500,500,500,0.539484,0.464,0.529704,0.53326,0.531288,0.47,0.469,0.471
p13,1.0,test250,250,250,0.585344,0.424,0.569672,0.55648,0.574272,0.442,0.446,0.438
p13,1.0,all500,500,500,0.587444,0.427,0.569048,0.571012,0.574264,0.447,0.442,0.44
